PID,Arrival Time,Burst Time,Priority
1,110,7,3
2,932,2,1
3,469,2,2
4,762,5,1
5,311,2,3
6,0,7,3
7,509,4,1
8,971,6,1
9,290,7,3
10,631,4,3
11,946,8,1
12,878,6,2
13,796,8,2
14,228,8,3
15,928,10,3
16,792,5,2
17,880,6,3
18,358,9,3
19,690,10,3
20,316,1,2
21,90,10,2
22,975,5,1
23,606,4,3
24,171,3,2
25,296,6,1
26,110,2,1
27,521,4,3
28,740,8,2
29,856,6,2
30,853,3,3
31,746,8,3
32,307,5,2
33,554,2,2
34,15,8,3
35,773,8,2
36,711,8,2
37,703,6,1
38,356,10,3
39,96,9,3
40,548,8,3
41,55,9,2
42,519,5,1
43,855,2,2
44,580,8,3
45,753,9,3
46,895,2,2
47,168,10,2
48,732,6,3
49,589,4,1
50,238,3,3
51,176,2,3
52,887,10,2
53,264,10,3
54,189,1,1
55,0,6,2
56,750,8,1
57,727,7,1
58,163,6,2
59,809,5,1
60,790,5,3
61,15,8,1
62,410,8,1
63,872,3,2
64,843,2,1
65,68,8,1
66,610,1,3
67,934,7,2
68,458,8,2
69,604,7,2
70,746,9,1
71,0,10,1
72,104,5,2
73,379,2,2
74,843,7,1
75,126,8,3
76,95,10,2
77,169,4,1
78,0,8,1
79,492,7,2
80,187,3,3
81,306,2,2
82,330,2,3
83,204,8,2
84,186,1,2
85,642,3,3
86,310,4,3
87,223,7,3
88,524,5,2
89,329,7,3
90,0,1,2
91,68,7,1
92,171,9,3
93,497,7,2
94,180,7,1
95,1000,9,2
96,363,7,3
97,793,4,2
98,646,4,1
99,0,5,1
100,112,8,2
101,603,1,1
102,919,3,1
103,527,7,1
104,323,2,1
105,161,3,1
106,50,10,3
107,396,10,2
108,592,9,2
109,492,7,2
110,536,3,2
111,621,8,3
112,442,6,1
113,330,6,2
114,340,2,2
115,370,1,3
116,65,1,3
117,975,4,3
118,297,1,3
119,156,4,3
120,836,8,1
121,945,2,2
122,923,10,2
123,261,9,3
124,553,7,1
125,696,5,3
126,896,6,3
127,854,1,1
128,144,7,2
129,751,1,1
130,0,10,1
131,45,6,1
132,763,10,1
133,881,8,1
134,436,3,3
135,830,1,3
136,594,2,3
137,366,3,3
138,388,10,2
139,836,9,2
140,0,3,1
141,359,9,3
142,724,4,3
143,127,7,1
144,811,1,3
145,872,10,2
146,394,1,1
147,0,3,3
148,305,5,3
149,74,8,3
150,868,6,3
151,947,5,2
152,666,2,2
153,938,6,1
154,276,9,2
155,121,3,2
156,381,9,1
157,946,3,3
158,84,8,2
159,96,8,1
160,166,10,3
161,327,9,1
162,946,5,1
163,614,7,1
164,528,9,3
165,29,6,3
166,0,5,2
167,111,3,2
168,191,9,3
169,539,5,3
170,118,10,1
171,213,9,2
172,90,3,2
173,790,10,2
174,110,9,3
175,186,1,3
176,131,4,3
177,550,4,1
178,30,3,1
179,902,1,1
180,681,3,1
